indicator_name,year,value
 Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number),2001,
 Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number),2002,
 Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number),2003,
 Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number),2004,
 Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number),2005,
 Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number),2006,
 Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number),2007,
 Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number),2008,
 Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number),2009,
 Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number),2010,
 Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number),2011,
 Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number),2012,
 Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number),2013,
 Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number),2014,1
 Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number),2015,1
 Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number),2016,1
 Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number),2017,1
 Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number),2018,1
 Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number),2019,1
 Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number),2020,1
 Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number),2021,1
 Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number),2022,1
 Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number),2023,1
 Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1998,
 Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1999,
 Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),2000,
 Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),2001,
 Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),2002,
 Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),2003,
 Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),2004,
 Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),2005,
 Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),2006,
 Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),2007,
 Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),2008,
 Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),2009,
 Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),2010,
 Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),2011,
 Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),2012,
 Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),2013,
 Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),2014,1
 Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),2015,1
 Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),2016,1
 Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),2017,1
 Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),2018,1
 Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),2019,1
 Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),2020,1
 Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),2021,1
 Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),2022,1
 Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),2023,1
 Administration of a nationally-representative learning assessment at the end of primary in reading (number),1998,
 Administration of a nationally-representative learning assessment at the end of primary in reading (number),1999,
 Administration of a nationally-representative learning assessment at the end of primary in reading (number),2000,
 Administration of a nationally-representative learning assessment at the end of primary in reading (number),2001,
 Administration of a nationally-representative learning assessment at the end of primary in reading (number),2002,
 Administration of a nationally-representative learning assessment at the end of primary in reading (number),2003,
 Administration of a nationally-representative learning assessment at the end of primary in reading (number),2004,
 Administration of a nationally-representative learning assessment at the end of primary in reading (number),2005,
 Administration of a nationally-representative learning assessment at the end of primary in reading (number),2006,
 Administration of a nationally-representative learning assessment at the end of primary in reading (number),2007,
 Administration of a nationally-representative learning assessment at the end of primary in reading (number),2008,
 Administration of a nationally-representative learning assessment at the end of primary in reading (number),2009,
 Administration of a nationally-representative learning assessment at the end of primary in reading (number),2010,
 Administration of a nationally-representative learning assessment at the end of primary in reading (number),2011,
 Administration of a nationally-representative learning assessment at the end of primary in reading (number),2012,
 Administration of a nationally-representative learning assessment at the end of primary in reading (number),2013,
 Administration of a nationally-representative learning assessment at the end of primary in reading (number),2014,1
 Administration of a nationally-representative learning assessment at the end of primary in reading (number),2015,1
 Administration of a nationally-representative learning assessment at the end of primary in reading (number),2016,1
 Administration of a nationally-representative learning assessment at the end of primary in reading (number),2017,1
 Administration of a nationally-representative learning assessment at the end of primary in reading (number),2018,1
 Administration of a nationally-representative learning assessment at the end of primary in reading (number),2019,1
 Administration of a nationally-representative learning assessment at the end of primary in reading (number),2020,1
 Administration of a nationally-representative learning assessment at the end of primary in reading (number),2021,1
 Administration of a nationally-representative learning assessment at the end of primary in reading (number),2022,1
 Administration of a nationally-representative learning assessment at the end of primary in reading (number),2023,1
"Adjusted net enrolment rate, one year before the official primary entry age, both sexes (%)",1998,95.35257721
"Adjusted net enrolment rate, one year before the official primary entry age, both sexes (%)",1999,96.68427277
"Adjusted net enrolment rate, one year before the official primary entry age, both sexes (%)",2000,99.99968719
"Adjusted net enrolment rate, one year before the official primary entry age, both sexes (%)",2001,98.98197174
"Adjusted net enrolment rate, one year before the official primary entry age, both sexes (%)",2002,99.8728714
"Adjusted net enrolment rate, one year before the official primary entry age, both sexes (%)",2003,94.67172241
"Adjusted net enrolment rate, one year before the official primary entry age, both sexes (%)",2004,93.87088776
"Adjusted net enrolment rate, one year before the official primary entry age, both sexes (%)",2005,92.81066132
"Adjusted net enrolment rate, one year before the official primary entry age, both sexes (%)",2006,91.86009979
"Adjusted net enrolment rate, one year before the official primary entry age, both sexes (%)",2007,91.55097198
"Adjusted net enrolment rate, one year before the official primary entry age, both sexes (%)",2008,97.30072784
"Adjusted net enrolment rate, one year before the official primary entry age, both sexes (%)",2009,97.50592041
"Adjusted net enrolment rate, one year before the official primary entry age, both sexes (%)",2010,95.90325928
"Adjusted net enrolment rate, one year before the official primary entry age, both sexes (%)",2011,95.78672791
"Adjusted net enrolment rate, one year before the official primary entry age, both sexes (%)",2012,97.34937286
"Adjusted net enrolment rate, one year before the official primary entry age, both sexes (%)",2013,96.07341003
"Adjusted net enrolment rate, one year before the official primary entry age, both sexes (%)",2014,98.62519073
"Adjusted net enrolment rate, one year before the official primary entry age, both sexes (%)",2015,
"Adjusted net enrolment rate, one year before the official primary entry age, both sexes (%)",2016,
"Adjusted net enrolment rate, one year before the official primary entry age, both sexes (%)",2017,
"Adjusted net enrolment rate, one year before the official primary entry age, both sexes (%)",2018,
"Adjusted net enrolment rate, one year before the official primary entry age, both sexes (%)",2019,
"Adjusted net enrolment rate, one year before the official primary entry age, both sexes (%)",2020,
"Adjusted net enrolment rate, one year before the official primary entry age, both sexes (%)",2021,
"Adjusted net enrolment rate, one year before the official primary entry age, both sexes (%)",2022,
"Adjusted net enrolment rate, one year before the official primary entry age, both sexes (%)",2023,
"Completion rate, lower secondary education, both sexes (%)",1998,
"Completion rate, lower secondary education, both sexes (%)",1999,
"Completion rate, lower secondary education, both sexes (%)",2000,
"Completion rate, lower secondary education, both sexes (%)",2001,
"Completion rate, lower secondary education, both sexes (%)",2002,
"Completion rate, lower secondary education, both sexes (%)",2003,
"Completion rate, lower secondary education, both sexes (%)",2004,
"Completion rate, lower secondary education, both sexes (%)",2005,
"Completion rate, lower secondary education, both sexes (%)",2006,99.27
"Completion rate, lower secondary education, both sexes (%)",2007,98.54
"Completion rate, lower secondary education, both sexes (%)",2008,99.07
"Completion rate, lower secondary education, both sexes (%)",2009,98.88
"Completion rate, lower secondary education, both sexes (%)",2010,99.21
"Completion rate, lower secondary education, both sexes (%)",2011,99.27
"Completion rate, lower secondary education, both sexes (%)",2012,99.56
"Completion rate, lower secondary education, both sexes (%)",2013,99.4
"Completion rate, lower secondary education, both sexes (%)",2014,99.92
"Completion rate, lower secondary education, both sexes (%)",2015,99.95
"Completion rate, lower secondary education, both sexes (%)",2016,99.71
"Completion rate, lower secondary education, both sexes (%)",2017,99.41
"Completion rate, lower secondary education, both sexes (%)",2018,99.59
"Completion rate, lower secondary education, both sexes (%)",2019,99.59
"Completion rate, lower secondary education, both sexes (%)",2020,
"Completion rate, lower secondary education, both sexes (%)",2021,
"Completion rate, lower secondary education, both sexes (%)",2022,
"Completion rate, lower secondary education, both sexes (%)",2023,
"Completion rate, lower secondary education, both sexes (modelled data) (%) ",1998,99.63999939
"Completion rate, lower secondary education, both sexes (modelled data) (%) ",1999,99.63999939
"Completion rate, lower secondary education, both sexes (modelled data) (%) ",2000,99.63999939
"Completion rate, lower secondary education, both sexes (modelled data) (%) ",2001,99.63999939
"Completion rate, lower secondary education, both sexes (modelled data) (%) ",2002,99.63999939
"Completion rate, lower secondary education, both sexes (modelled data) (%) ",2003,99.63999939
"Completion rate, lower secondary education, both sexes (modelled data) (%) ",2004,99.63999939
"Completion rate, lower secondary education, both sexes (modelled data) (%) ",2005,99.65000153
"Completion rate, lower secondary education, both sexes (modelled data) (%) ",2006,99.65000153
"Completion rate, lower secondary education, both sexes (modelled data) (%) ",2007,99.65000153
"Completion rate, lower secondary education, both sexes (modelled data) (%) ",2008,99.65000153
"Completion rate, lower secondary education, both sexes (modelled data) (%) ",2009,99.65000153
"Completion rate, lower secondary education, both sexes (modelled data) (%) ",2010,99.65000153
"Completion rate, lower secondary education, both sexes (modelled data) (%) ",2011,99.65000153
"Completion rate, lower secondary education, both sexes (modelled data) (%) ",2012,99.66000366
"Completion rate, lower secondary education, both sexes (modelled data) (%) ",2013,99.68000031
"Completion rate, lower secondary education, both sexes (modelled data) (%) ",2014,99.70999908
"Completion rate, lower secondary education, both sexes (modelled data) (%) ",2015,99.73000336
"Completion rate, lower secondary education, both sexes (modelled data) (%) ",2016,99.76000214
"Completion rate, lower secondary education, both sexes (modelled data) (%) ",2017,99.77999878
"Completion rate, lower secondary education, both sexes (modelled data) (%) ",2018,99.80000305
"Completion rate, lower secondary education, both sexes (modelled data) (%) ",2019,99.80999756
"Completion rate, lower secondary education, both sexes (modelled data) (%) ",2020,99.81999969
"Completion rate, lower secondary education, both sexes (modelled data) (%) ",2021,99.83999634
"Completion rate, lower secondary education, both sexes (modelled data) (%) ",2022,99.84999847
"Completion rate, lower secondary education, both sexes (modelled data) (%) ",2023,99.86000061
"Completion rate, primary education, both sexes (%)",1998,
"Completion rate, primary education, both sexes (%)",1999,
"Completion rate, primary education, both sexes (%)",2000,
"Completion rate, primary education, both sexes (%)",2001,
"Completion rate, primary education, both sexes (%)",2002,
"Completion rate, primary education, both sexes (%)",2003,
"Completion rate, primary education, both sexes (%)",2004,
"Completion rate, primary education, both sexes (%)",2005,
"Completion rate, primary education, both sexes (%)",2006,99.635
"Completion rate, primary education, both sexes (%)",2007,99.27
"Completion rate, primary education, both sexes (%)",2008,99.535
"Completion rate, primary education, both sexes (%)",2009,99.44
"Completion rate, primary education, both sexes (%)",2010,99.605
"Completion rate, primary education, both sexes (%)",2011,99.635
"Completion rate, primary education, both sexes (%)",2012,99.78
"Completion rate, primary education, both sexes (%)",2013,99.7
"Completion rate, primary education, both sexes (%)",2014,99.96
"Completion rate, primary education, both sexes (%)",2015,99.975
"Completion rate, primary education, both sexes (%)",2016,99.855
"Completion rate, primary education, both sexes (%)",2017,99.705
"Completion rate, primary education, both sexes (%)",2018,99.795
"Completion rate, primary education, both sexes (%)",2019,99.795
"Completion rate, primary education, both sexes (%)",2020,
"Completion rate, primary education, both sexes (%)",2021,
"Completion rate, primary education, both sexes (%)",2022,
"Completion rate, primary education, both sexes (%)",2023,
"Completion rate, primary education, both sexes (modelled data) (%) ",1998,99.79000092
"Completion rate, primary education, both sexes (modelled data) (%) ",1999,99.79000092
"Completion rate, primary education, both sexes (modelled data) (%) ",2000,99.79000092
"Completion rate, primary education, both sexes (modelled data) (%) ",2001,99.79000092
"Completion rate, primary education, both sexes (modelled data) (%) ",2002,99.79000092
"Completion rate, primary education, both sexes (modelled data) (%) ",2003,99.79000092
"Completion rate, primary education, both sexes (modelled data) (%) ",2004,99.79000092
"Completion rate, primary education, both sexes (modelled data) (%) ",2005,99.79000092
"Completion rate, primary education, both sexes (modelled data) (%) ",2006,99.79000092
"Completion rate, primary education, both sexes (modelled data) (%) ",2007,99.79000092
"Completion rate, primary education, both sexes (modelled data) (%) ",2008,99.79000092
"Completion rate, primary education, both sexes (modelled data) (%) ",2009,99.79000092
"Completion rate, primary education, both sexes (modelled data) (%) ",2010,99.79000092
"Completion rate, primary education, both sexes (modelled data) (%) ",2011,99.80000305
"Completion rate, primary education, both sexes (modelled data) (%) ",2012,99.80999756
"Completion rate, primary education, both sexes (modelled data) (%) ",2013,99.81999969
"Completion rate, primary education, both sexes (modelled data) (%) ",2014,99.83000183
"Completion rate, primary education, both sexes (modelled data) (%) ",2015,99.83999634
"Completion rate, primary education, both sexes (modelled data) (%) ",2016,99.83999634
"Completion rate, primary education, both sexes (modelled data) (%) ",2017,99.84999847
"Completion rate, primary education, both sexes (modelled data) (%) ",2018,99.84999847
"Completion rate, primary education, both sexes (modelled data) (%) ",2019,99.86000061
"Completion rate, primary education, both sexes (modelled data) (%) ",2020,99.86000061
"Completion rate, primary education, both sexes (modelled data) (%) ",2021,99.87000275
"Completion rate, primary education, both sexes (modelled data) (%) ",2022,99.87000275
"Completion rate, primary education, both sexes (modelled data) (%) ",2023,99.87999725
"Completion rate, upper secondary education, both sexes (%)",1998,
"Completion rate, upper secondary education, both sexes (%)",1999,
"Completion rate, upper secondary education, both sexes (%)",2000,
"Completion rate, upper secondary education, both sexes (%)",2001,
"Completion rate, upper secondary education, both sexes (%)",2002,
"Completion rate, upper secondary education, both sexes (%)",2003,
"Completion rate, upper secondary education, both sexes (%)",2004,
"Completion rate, upper secondary education, both sexes (%)",2005,
"Completion rate, upper secondary education, both sexes (%)",2006,77.44
"Completion rate, upper secondary education, both sexes (%)",2007,76.21
"Completion rate, upper secondary education, both sexes (%)",2008,76.16
"Completion rate, upper secondary education, both sexes (%)",2009,77.16
"Completion rate, upper secondary education, both sexes (%)",2010,77.13
"Completion rate, upper secondary education, both sexes (%)",2011,79.26
"Completion rate, upper secondary education, both sexes (%)",2012,81.42
"Completion rate, upper secondary education, both sexes (%)",2013,80.81
"Completion rate, upper secondary education, both sexes (%)",2014,82.55
"Completion rate, upper secondary education, both sexes (%)",2015,84.26
"Completion rate, upper secondary education, both sexes (%)",2016,82.97
"Completion rate, upper secondary education, both sexes (%)",2017,83.3
"Completion rate, upper secondary education, both sexes (%)",2018,82.74
"Completion rate, upper secondary education, both sexes (%)",2019,84.47
"Completion rate, upper secondary education, both sexes (%)",2020,
"Completion rate, upper secondary education, both sexes (%)",2021,
"Completion rate, upper secondary education, both sexes (%)",2022,
"Completion rate, upper secondary education, both sexes (%)",2023,
"Completion rate, upper secondary education, both sexes (modelled data) (%) ",1998,87.25
"Completion rate, upper secondary education, both sexes (modelled data) (%) ",1999,87.33999634
"Completion rate, upper secondary education, both sexes (modelled data) (%) ",2000,87.37000275
"Completion rate, upper secondary education, both sexes (modelled data) (%) ",2001,87.40000153
"Completion rate, upper secondary education, both sexes (modelled data) (%) ",2002,87.48000336
"Completion rate, upper secondary education, both sexes (modelled data) (%) ",2003,87.5
"Completion rate, upper secondary education, both sexes (modelled data) (%) ",2004,87.52999878
"Completion rate, upper secondary education, both sexes (modelled data) (%) ",2005,87.55999756
"Completion rate, upper secondary education, both sexes (modelled data) (%) ",2006,87.55000305
"Completion rate, upper secondary education, both sexes (modelled data) (%) ",2007,87.56999969
"Completion rate, upper secondary education, both sexes (modelled data) (%) ",2008,87.62000275
"Completion rate, upper secondary education, both sexes (modelled data) (%) ",2009,87.61000061
"Completion rate, upper secondary education, both sexes (modelled data) (%) ",2010,87.62999725
"Completion rate, upper secondary education, both sexes (modelled data) (%) ",2011,87.68000031
"Completion rate, upper secondary education, both sexes (modelled data) (%) ",2012,87.83999634
"Completion rate, upper secondary education, both sexes (modelled data) (%) ",2013,88.05000305
"Completion rate, upper secondary education, both sexes (modelled data) (%) ",2014,88.23999786
"Completion rate, upper secondary education, both sexes (modelled data) (%) ",2015,88.40000153
"Completion rate, upper secondary education, both sexes (modelled data) (%) ",2016,88.55000305
"Completion rate, upper secondary education, both sexes (modelled data) (%) ",2017,88.75
"Completion rate, upper secondary education, both sexes (modelled data) (%) ",2018,88.91999817
"Completion rate, upper secondary education, both sexes (modelled data) (%) ",2019,89.15000153
"Completion rate, upper secondary education, both sexes (modelled data) (%) ",2020,89.27999878
"Completion rate, upper secondary education, both sexes (modelled data) (%) ",2021,89.44999695
"Completion rate, upper secondary education, both sexes (modelled data) (%) ",2022,89.65000153
"Completion rate, upper secondary education, both sexes (modelled data) (%) ",2023,89.87000275
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, both sexes (%)",1998,
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, both sexes (%)",1999,
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, both sexes (%)",2000,
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, both sexes (%)",2001,
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, both sexes (%)",2002,
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, both sexes (%)",2003,
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, both sexes (%)",2004,
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, both sexes (%)",2005,
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, both sexes (%)",2006,
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, both sexes (%)",2007,
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, both sexes (%)",2008,
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, both sexes (%)",2009,
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, both sexes (%)",2010,1.102439234
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, both sexes (%)",2011,1.018768939
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, both sexes (%)",2012,1.062295475
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, both sexes (%)",2013,28.38999939
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, both sexes (%)",2014,29.32999992
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, both sexes (%)",2015,25.12431833
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, both sexes (%)",2016,26.11839552
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, both sexes (%)",2017,33.91999817
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, both sexes (%)",2018,27.88207457
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, both sexes (%)",2019,29.00269706
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, both sexes (%)",2020,37.27999878
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, both sexes (%)",2021,39.59000015
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, both sexes (%)",2022,35.85204982
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, both sexes (%)",2023,37.12956004
"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, both sexes (%)",1998,
"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, both sexes (%)",1999,
"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, both sexes (%)",2000,
"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, both sexes (%)",2001,
"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, both sexes (%)",2002,
"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, both sexes (%)",2003,
"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, both sexes (%)",2004,
"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, both sexes (%)",2005,
"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, both sexes (%)",2006,
"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, both sexes (%)",2007,
"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, both sexes (%)",2008,
"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, both sexes (%)",2009,
"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, both sexes (%)",2010,0
"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, both sexes (%)",2011,0
"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, both sexes (%)",2012,0
"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, both sexes (%)",2013,0.920000017
"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, both sexes (%)",2014,0.879999995
"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, both sexes (%)",2015,1.18506867
"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, both sexes (%)",2016,1.129558711
"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, both sexes (%)",2017,1
